日期,場次,現有地點,距離km,缺口狀態,Notion連結
2026-05-09,"吳沙宜蘭之路（測試）","宜蘭文學館",47.7,已有結構化路線,https://www.notion.so/24c9ff25fdab800abe38dfddead28957
2026-03-29,"走讀12場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80cdaac5e9b9d9ca43ad
2026-03-22,"走讀10場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80169f77f4a646e18306
2026-03-21,"走讀09場｜114庄頭","",,全空待補,https://www.notion.so/2d99ff25fdab801bafc8c2cd1cf542d1
2026-03-14,"走讀08場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab804ebaa6f7c3ab71024c
2026-03-07,"走讀07場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab804f8d81fd1617a3391a
2026-03-01,"走讀05場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80d788acfd668672f499
2026-01-10,"走讀06場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80f88f79c62d3727967e
2025-12-27,"走讀05場｜114庄頭","旅人書店",,有場地或距離線索,https://www.notion.so/2d99ff25fdab80a0bb0bf7d8f9e5d4b8
2025-12-20,"走讀04場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab802b837bd1ae05db719f
2025-11-29,"走讀03場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80deb56ceb20ec1982c9
2025-11-22,"走讀02場｜114文學館","",,全空待補,https://www.notion.so/2719ff25fdab8066b535d17808b5a4d4
2025-11-22,"走讀02場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80c09b27c902f86cd91e
2025-11-16,"走讀01場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80cd9ebdfc959a2de9b4
2025-08-30,"114家庭｜活動第12場","頭城",,有場地或距離線索,https://www.notion.so/1dd9ff25fdab8078bccdfec97fb25d3d
2025-08-30,"114家庭｜活動第11場","頭城",,有場地或距離線索,https://www.notion.so/1dd9ff25fdab8070bc5dd769ae70db4f
2025-08-16,"宜日旅人01場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab80b48863e561e049071d
2025-07-16,"114家庭｜活動第09場","",,全空待補,https://www.notion.so/1dd9ff25fdab8055ab2cf75c7c2cf3c0
2025-07-16,"114家庭｜活動第10場","",,全空待補,https://www.notion.so/1dd9ff25fdab80dfbd22d9038e396c43
2025-06-21,"113鐵道展｜鐵道主題走讀11場","",,全空待補,https://www.notion.so/24c9ff25fdab80b38179e83308260e0b
2025-05-17,"113鐵道展｜鐵道主題走讀10場","",,全空待補,https://www.notion.so/24c9ff25fdab8059b479ce4a8cc15f20
2025-04-16,"114家庭｜活動第07場","",,全空待補,https://www.notion.so/1dd9ff25fdab80b0a391d663a69c1fd6
2025-04-16,"114家庭｜活動第08場","",,全空待補,https://www.notion.so/1dd9ff25fdab801b90acd9a74370f730
2025-03-23,"113鐵道展｜鐵道主題走讀08場","",,全空待補,https://www.notion.so/24c9ff25fdab80ccb4d7e0257cd2fa62
2025-02-22,"113鐵道展｜鐵道主題走讀07場","",,全空待補,https://www.notion.so/24c9ff25fdab80918c75f3fae193170f
2025-02-15,"走讀｜113潮間帶｜老屋導覽走讀01場","",,全空待補,https://www.notion.so/1ff9ff25fdab804982cfe6863a72b3a7
2024-11-18,"走讀｜113工作站｜與潮走讀05（賴元淵）","",,全空待補,https://www.notion.so/1ff9ff25fdab80328012d7e6f1b6c05e
2024-11-16,"113文學館｜文學走讀+料理寫作課解密文學館","",,全空待補,https://www.notion.so/f73b8cdcefdb47c1ab41667ab083f059
2024-11-08,"113工作站｜與潮走讀04（許馬克）","",,全空待補,https://www.notion.so/1ff9ff25fdab80c6b7bfcbc77edc478e
2024-10-31,"113工作站｜與潮走讀03（許馬克）","",,全空待補,https://www.notion.so/1ff9ff25fdab80d0bc21e07fadc99093
2024-10-21,"113工作站｜與潮諮詢鏈結南方澳走讀02（林國賓）","",,全空待補,https://www.notion.so/1ff9ff25fdab8044ab31c82c3a290d57
2024-10-21,"114工作站｜南方澳走讀","",,全空待補,https://www.notion.so/0f64da43b04e4ab2a18e4723c935bdd0
2024-10-13,"113工作站｜花蓮地方創生見學團第6場","",,全空待補,https://www.notion.so/1049ff25fdab8167a9c9cd244be1530a
2024-10-11,"113工作站｜與潮諮詢鏈結南方澳走讀01（賴元淵）","",,全空待補,https://www.notion.so/1ff9ff25fdab809b8f37f674a2ced198
2024-09-30,"113鐵道展｜通車百年紀念走讀（蘭博旅人）","",,全空待補,https://www.notion.so/22a9ff25fdab808da1d9fda16a7ab19d
2024-09-26,"113運籌｜館舍交流01場","",,全空待補,https://www.notion.so/03b9f2866a0e4a41b7a44c9cb1654c2e
2024-09-17,"113鐵道展｜鐵道主題走讀06場（觀月列車）","",,全空待補,https://www.notion.so/b3fe3be1021f4d42a6e0e04dfa43e81e
2024-09-16,"113運籌｜館舍交流02場","",,全空待補,https://www.notion.so/4aece9fd1be9414c94975beb4ff14910
2024-09-14,"113文學館｜舊城走讀暨料理寫作課","",,全空待補,https://www.notion.so/1a69ff25fdab809aa24dda69d92fa5d8
2024-08-25,"113工作站｜南澳地方創生見學團第4場","",,全空待補,https://www.notion.so/1049ff25fdab81659251d955d56652a5
2024-08-10,"113工作站｜桃園地方創生見學團第5場","",,全空待補,https://www.notion.so/1049ff25fdab81c99904c69e956aa89d
2024-08-03,"113鐵道展｜鐵道主題走讀04場","",,全空待補,https://www.notion.so/f3cae11a804d4d0e8d9196d483f7d9a4
2024-06-30,"113工作站｜苗栗地方創生見學團第3場","",,全空待補,https://www.notion.so/1049ff25fdab81cea860f6b03ba52c36
2024-06-22,"113工作站｜新竹地方創生見學團第2場","",,全空待補,https://www.notion.so/1049ff25fdab819aa573d8facf1e72a6
2024-06-09,"113鐵道展｜鐵道主題走讀03場","",,全空待補,https://www.notion.so/1019ff25fdab8180ae4ddf96df363afa
2024-06-01,"113工作站｜基隆地方創生見學團第1場","",,全空待補,https://www.notion.so/1049ff25fdab8115a9bec9989cb1c21a
2024-05-04,"113鐵道展｜鐵道主題走讀01場","",,全空待補,https://www.notion.so/1019ff25fdab8114be5fc6a7a21cf77e
2024-04-11,"113三月初三呷拜拜旅行02場","",,全空待補,https://www.notion.so/24c9ff25fdab80f8855cf524f548ba09
2024-04-11,"113三月初三呷拜拜旅行01場","",,全空待補,https://www.notion.so/1049ff25fdab81688ecef439d02d74b7
2024-04-03,"112運籌｜吳沙紀念館 館舍增能交流（02場）","",,全空待補,https://www.notion.so/1ff9ff25fdab8086ad91f6763050b548
2024-03-23,"113鐵道展｜宜蘭蘇澳段通車周年走讀活動","",,全空待補,https://www.notion.so/1019ff25fdab8141966fef104b79591b
2024-03-23,"113鐵道展｜鐵道主題走讀01場蘇澳羅東","",,全空待補,https://www.notion.so/1049ff25fdab8189bc6dc2627e71a981
2024-03-20,"112運籌｜碗盤博物館 館舍增能交流（01場）","",,全空待補,https://www.notion.so/1ff9ff25fdab8095b604ccc12256881d
2024-02-17,"113文學館｜舊城台語導覽實作｜大湖國小","",,全空待補,https://www.notion.so/1049ff25fdab81b09c81fa4944af85a9
2023-10-15,"112文學館｜文學走讀+料理寫作課解密文學館第2場","",,全空待補,https://www.notion.so/1ff9ff25fdab803794d7ea50aaef1a1e
2023-10-14,"112文學館｜文學走讀+料理寫作課解密文學館第1場","",,全空待補,https://www.notion.so/1ff9ff25fdab80d0b478de18dc96db5e
2023-10-08,"112串聯｜宜蘭書店小旅行（溪南篇）","",,全空待補,https://www.notion.so/1ff9ff25fdab80c69cdaf722e698c74e
2023-10-07,"112串聯｜宜蘭書店小旅行（溪北篇）","",,全空待補,https://www.notion.so/1ff9ff25fdab80dca4bad78533168925
2022-12-04,"110老建築事件簿成功國小02","",,全空待補,https://www.notion.so/1ff9ff25fdab80c9b7f5dc4b25c4d1c0
2022-12-04,"111創育坊｜壯圍共創小旅行","",,全空待補,https://www.notion.so/1ff9ff25fdab80eaa61acd95d16ee88f
2022-12-04,"111創育坊｜三星共創小旅行","",,全空待補,https://www.notion.so/1ff9ff25fdab80eb8f37e6a3b1c501fb
2022-12-04,"110老建築事件簿成功國小01","",,全空待補,https://www.notion.so/1ff9ff25fdab8021a8a0fc1a535424ed
2022-12-04,"113運籌｜在地知識小旅行02場","",,全空待補,https://www.notion.so/1ff9ff25fdab80d38166f384427ff006
2022-12-04,"111創育坊｜蘇澳共創小旅行","",,全空待補,https://www.notion.so/1ff9ff25fdab80d38c67ec2f70c9bedc
2022-12-04,"111創育坊｜舊城共創小旅行","",,全空待補,https://www.notion.so/1ff9ff25fdab8039af6cd5db54422e49
2022-12-04,"110老建築事件簿成功國小03","",,全空待補,https://www.notion.so/1ff9ff25fdab80e38d77d71da31cedbb
2022-12-04,"113運籌｜在地知識小旅行01場","",,全空待補,https://www.notion.so/1ff9ff25fdab8031a177e522c7155591
2022-11-29,"111文學館｜文學走讀+料理寫作課解密文學館02","",,全空待補,https://www.notion.so/1ff9ff25fdab8076a32be62f71d2e616
2022-10-01,"111走讀台灣｜神明聯合國—南方澳造神記","",,全空待補,https://www.notion.so/1ff9ff25fdab80a48ec3cf567ef31d2f
2022-09-17,"111走讀台灣｜丸山小勇士","",,全空待補,https://www.notion.so/1ff9ff25fdab8030b0d0dfd9a0e1a3bc
2022-08-20,"111走讀台灣｜宜蘭河神怪傳","",,全空待補,https://www.notion.so/1ff9ff25fdab80d7a808ebb6d8bd5bd4
2022-08-19,"111走讀台灣｜媽祖的神奇寶貝","",,全空待補,https://www.notion.so/1ff9ff25fdab80dcb3d2d2e9632b3078
2022-05-06,"南方澳走逛｜海海人生1（林國賓）","",,全空待補,https://www.notion.so/1ff9ff25fdab80eca379fff87f53a030
2022-04-24,"111文學館｜文學走讀+料理寫作課解密文學館01","",,全空待補,https://www.notion.so/1ff9ff25fdab80529beec3efd23af47a
2021-11-12,"110運籌｜小旅行04場冬山湧泉帶水綠學校(工業區大煙囪旁的客家聚落與水圳)","",,全空待補,https://www.notion.so/1ff9ff25fdab80a7b9c2c0278f0f248d
2021-11-09,"110運籌｜小旅行03場冬山大埤（梅花湖）茅埔城聚落與古道","",,全空待補,https://www.notion.so/1ff9ff25fdab802ba749d87b5179e3d6
2021-11-06,"小品羅東第一場（莊文生）","",,全空待補,https://www.notion.so/1ff9ff25fdab803bbc06ea89bd37d381
2021-11-06,"109秋遊｜老建築事件簿中山公園篇03場","",,全空待補,https://www.notion.so/1ff9ff25fdab80dab40bf068167ea445
2021-11-06,"109老建築事件簿公正國小篇05場","",,全空待補,https://www.notion.so/1ff9ff25fdab806bb9d7fea4d906e187
2021-11-06,"109秋遊｜老建築事件簿中山公園篇02場","",,全空待補,https://www.notion.so/1ff9ff25fdab807bb770fa965024a8ff
2021-11-06,"2020老建築事件簿中山公園篇07場","",,全空待補,https://www.notion.so/1ff9ff25fdab80cb8b11cf7f13506b29
2021-11-06,"小品羅東第二場（莊文生）","",,全空待補,https://www.notion.so/1ff9ff25fdab80d982dde36fd8c44c06
2021-11-06,"2020老建築事件簿中山公園篇06場","",,全空待補,https://www.notion.so/1ff9ff25fdab80e89051db31a46c4d79
2021-11-06,"109老建築事件簿公正國小篇04場","",,全空待補,https://www.notion.so/1ff9ff25fdab8017bb7bf4336c2c1c3a
2021-11-06,"109秋遊｜老建築事件簿01場成功國小篇","",,全空待補,https://www.notion.so/1ff9ff25fdab80278456f4e644aa8538
2021-11-05,"110運籌｜小旅行02場宜蘭河上游水系水綠學校","",,全空待補,https://www.notion.so/1ff9ff25fdab80bcb9b1c2b579533d06
2021-11-02,"110運籌｜小旅行01場員山大湖埤水系水綠學校","",,全空待補,https://www.notion.so/1ff9ff25fdab808982f2d0a2cedf59ac
2021-05-08,"少年陳穎川的《望天丘》奇幻旅程01","",,全空待補,https://www.notion.so/1ff9ff25fdab80ffb306ca12dbccb03c
2021-05-02,"路徑一│太平山情事02","",,全空待補,https://www.notion.so/1ff9ff25fdab8079bf62dc53b423da12
2021-04-25,"路徑一│太平山情事03","",,全空待補,https://www.notion.so/1ff9ff25fdab80debcdde799eaff7002
2021-04-18,"路徑三│蘭陽的歷史與風土03","",,全空待補,https://www.notion.so/1ff9ff25fdab8029b12bca2598515494
2021-04-10,"路徑一│太平山情事01","",,全空待補,https://www.notion.so/1ff9ff25fdab802aaaedcff30f5fe106
2021-03-28,"少年陳穎川的《望天丘》奇幻旅程02","",,全空待補,https://www.notion.so/1ff9ff25fdab80fa97caff2b09f8dec1
2021-03-21,"路徑三│蘭陽的歷史與風土01","",,全空待補,https://www.notion.so/1ff9ff25fdab80d4a9e2d23e73604f3e
2021-03-13,"路徑三│蘭陽的歷史與風土02","",,全空待補,https://www.notion.so/1ff9ff25fdab80ffbfaee43d6f1d5858
2021-03-06,"少年陳穎川的《望天丘》奇幻旅程03","",,全空待補,https://www.notion.so/1ff9ff25fdab801086adf88c897a9e78
2020-11-07,"蘭博旅人07｜東澳，乘飛魚入夢","",,全空待補,https://www.notion.so/1ff9ff25fdab80adb759cab6c898e655
2020-11-07,"慢島旅人06｜出航！海波浪上的洄游生活01","",,全空待補,https://www.notion.so/1ff9ff25fdab803a8746c9b3fa893582
2020-11-01,"蘭博旅人06｜壯圍，積沙丘守望","",,全空待補,https://www.notion.so/1ff9ff25fdab803590d9d803c9f23761
2020-10-31,"蘭博旅人05｜大溪，與山海齊行","",,全空待補,https://www.notion.so/1ff9ff25fdab80f29c53f90219884243
2020-10-28,"蘭博宜學會06：室外實習：羅東夜市","",,全空待補,https://www.notion.so/1ff9ff25fdab808e860eea934df77bd1
2020-10-18,"蘭博旅人04｜東澳，乘飛魚入夢","",,全空待補,https://www.notion.so/1ff9ff25fdab809fb2bbe8597de2eaf0
2020-10-17,"蘭博旅人03｜冬山，尋河海之源","",,全空待補,https://www.notion.so/1ff9ff25fdab80db94f6c6181f05a375
2020-10-04,"蘭博宜學會05：室外實習：羅東中街","",,全空待補,https://www.notion.so/1ff9ff25fdab80c1bfd8c55f75f43962
2020-09-20,"蘭博旅人02－東澳，乘飛魚入夢","",,全空待補,https://www.notion.so/1ff9ff25fdab80a98c4be750ae5768ae
2020-09-19,"慢島旅人05｜出航！海波浪上的洄游生活02","",,全空待補,https://www.notion.so/1ff9ff25fdab80beb4c1db073807753f
2020-09-19,"蘭博旅人01－大溪，與山海齊行","",,全空待補,https://www.notion.so/1ff9ff25fdab80098465e6873aaad426
2020-09-18,"慢島旅人04｜出航！海波浪上的洄游生活","",,全空待補,https://www.notion.so/1ff9ff25fdab80cf8e8ef7642647e856
2020-08-26,"走讀｜蘭博宜學會07：室外實習：實境解謎","",,全空待補,https://www.notion.so/1ff9ff25fdab804cbf46cc5cbb8a8658
2020-08-22,"慢島旅人03｜泡湯前請先服用，山水間的鮮果旅行","",,全空待補,https://www.notion.so/1ff9ff25fdab8044b79ff07331606f53
2020-07-11,"慢島旅人02｜這樣的日子很可以！半農半X的野放人生","",,全空待補,https://www.notion.so/1ff9ff25fdab80d2a4f8e7d8fb51b4a8
2020-07-04,"慢島旅人01｜這樣的日子很可以！半農半X的野放人生","",,全空待補,https://www.notion.so/1ff9ff25fdab80dca118e02cdcb0bdfd
2020-03-20,"2017旅人｜《去羅東，不逛夜市》三月三呷拜拜","",,全空待補,https://www.notion.so/1a69ff25fdab8031b072e508dc3f2fed
2020-03-20,"老建築事件簿「樟仔園篇」","",,全空待補,https://www.notion.so/1ff9ff25fdab80e5ad49f1158e665eb0
2020-03-20,"108閱讀日｜宜蘭文化局南門口與神將體驗","",,全空待補,https://www.notion.so/1ff9ff25fdab802aa737f69102e9dde5
2020-03-20,"108閱讀日｜宜蘭文化局西門溝與扶鸞見學","",,全空待補,https://www.notion.so/1ff9ff25fdab8065895fdacafc460f47
2019-10-27,"108蘭博｜宜蘭線通車百年遊程01場","",,全空待補,https://www.notion.so/1ff9ff25fdab8097b0caffc1515fecb6
2019-10-20,"108蘭博｜宜蘭線通車百年遊程02場","",,全空待補,https://www.notion.so/1ff9ff25fdab80219a34df3963069c21
2018-10-14,"從書店看見百年舊城-文化走讀（舊城信仰篇）","",,全空待補,https://www.notion.so/1ff9ff25fdab80468476e7ef2999e9ce
2018-10-14,"舊城田中央建築走讀","",,全空待補,https://www.notion.so/1ff9ff25fdab809ea35ec1ef5bb99caf
2018-10-14,"宜蘭漫遊舊城散步10（方子維）","",,全空待補,https://www.notion.so/1ff9ff25fdab80968190e93230d55a95
2018-10-14,"達人帶路舊城散步01（林正芳）","",,全空待補,https://www.notion.so/1ff9ff25fdab8075be62de6a133dc56c
2018-10-14,"2018旅人｜《南方澳看海，漁港生活的萬千樣貌》","",,全空待補,https://www.notion.so/1a69ff25fdab80b2b875e83812512ba0
2018-10-14,"2018旅人｜《看得見的鄉愁，龜山島人的海風歲月》","",,全空待補,https://www.notion.so/1029ff25fdab81b596c6c838cdd95f50
2018-10-14,"達人帶路舊城散步02（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80f18abee56e87562bb5
2018-10-14,"2017旅人｜舊城－深溝文史生態漫漫走（旅人書店x小間書菜）","",,全空待補,https://www.notion.so/1a69ff25fdab80f4a302c73adc3750aa
2017-08-28,"宜蘭漫遊舊城散步08（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80999217dec305b5b04f
2017-08-28,"宜蘭漫遊舊城散步09（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab8086a33feca3e4bbbcaf
2017-08-05,"宜蘭漫遊舊城散步06（方子維）","",,全空待補,https://www.notion.so/1ff9ff25fdab808c8282ce4ff12bfb60
2017-07-25,"宜蘭漫遊舊城散步05（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80aba890f49d1e91e942
2017-07-22,"宜蘭漫遊舊城散步04（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80eb9fbbd4db8f0eaa62
2017-07-16,"宜蘭漫遊舊城散步03（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80b5a8a8f6b52aeb8909
2017-07-08,"宜蘭慢遊 舊城散步07（林正芳）","",,全空待補,https://www.notion.so/1ff9ff25fdab800d8627ef2d3a09824e
2017-07-04,"宜蘭慢遊 舊城散步02（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80ad9cfdf170cf4b99e1
2017-07-03,"宜蘭慢遊 舊城散步02（吳庭印）","",,全空待補,https://www.notion.so/1ff9ff25fdab80d98aebdfb052748bd3
2017-07-02,"走宜蘭慢遊 舊城散步01（林正芳）","",,全空待補,https://www.notion.so/1ff9ff25fdab808f9267e7d2f740814d
2015-11-09,"舊城亂走團06","",,全空待補,https://www.notion.so/1ff9ff25fdab80cea138f23e0e4b3a87
2015-10-04,"舊城亂走團05","",,全空待補,https://www.notion.so/1ff9ff25fdab806594c9d248b4d9b397
2015-07-31,"舊城亂走團04","",,全空待補,https://www.notion.so/1ff9ff25fdab80c2be65dcd6c57e6099
2015-06-08,"舊城亂走團03","",,全空待補,https://www.notion.so/1ff9ff25fdab80b9912ce74f592c27a2
2015-04-19,"舊城亂走團02","",,全空待補,https://www.notion.so/1ff9ff25fdab80d18f48c6ae5b795845
2015-02-05,"舊城亂走團01","",,全空待補,https://www.notion.so/1ff9ff25fdab804a8edcf214d7fe0edf
(無日期),"114林場｜林場走讀01場","",,全空待補,https://www.notion.so/2099ff25fdab80608ee7fb7674cf00dc
(無日期),"宜日旅人04場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab80e5b582e628369d5b7c
(無日期),"宜日旅人03場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab80e59e1cfec7b851eb7f
(無日期),"114林場｜林場走讀02場","",,全空待補,https://www.notion.so/2099ff25fdab809e9b67c787cd150c52
(無日期),"宜日旅人05場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab8074b204c7297a4dc640
(無日期),"走讀09場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80d3bfbdeffdc3ab9c18
